id,size,"custom label"
"06a38b83-c681-4ddd-bb7d-22deaceeb3ee","XXL","medium"
"c87cb857-fefe-4645-8f47-b1f7b7dea871","13","medium"
"1264fd84-7394-4a3f-9f4c-fc897b8ba1f1","XXXL","low"
"0b71f97e-592f-482b-8e12-3252391819f2","9","low"
"e4d7d842-3a2a-4053-ac12-ff272d773fe8","5","NA"
"f5731321-037e-456b-9331-f858958c0e97","5","ignore"
"1dac2d1f-e9b2-4da8-ab70-710e800b2ff1","XL","high"
"ca67a4c4-3c8b-41ad-b484-86291d414823","L","NA"
"52ad58e0-9b47-47bf-9497-896aee4ee694","L","ignore"
"1f5571b3-0498-460b-89a6-234b3c0709f6","7","low"
"40a3583b-e86f-4ec8-ae75-b60b43fa9ac4","L","low"
"8c101281-48a5-4640-9acf-38be50c9a246","8","low"
"2eb4e889-8842-46e7-8f8b-65e06d03f794","7","low"
"99b63581-8db4-4f8c-9e83-837f9a6cbe1e","L","NA"
"24e6e394-bb94-4135-a470-81c69b17390b","6","medium"
"01b56c75-9792-4cca-8323-42d79ff61b9e","12","NA"
"0111f47e-20c2-48e5-94b7-9cde7a75d796","12","NA"
"c45e7bb6-81a4-476b-928a-faf38bde68e7","5","ignore"
"fa56ad5e-bc82-45e2-b0af-03a86579b192","6","NA"
"6c65fb5e-3479-4802-98c5-8ffcea83f950","11","ignore"
"e88c8db0-ea77-41d4-af59-aef54fa5153e","7","NA"
"81690c3e-2918-404b-b993-63e95a9e3b61","M","NA"
"c5f662e5-c20c-49b0-99f3-7a34b4abfe2d","XXL","low"
"347c8ea8-5538-4e5c-b3ae-f5757d01c81b","9","medium"
"96481db1-28ab-4c04-82dd-c80d4c57979c","7","low"
"c366aed7-c5fa-4ec4-bf20-3eb287f007c1","XL","medium"
"e54aac58-2626-472d-9631-4b359f686e09","11","NA"
"8dff624c-3444-4a84-9e4f-4883e3b7a5aa","13","NA"
"23d31655-0c2a-40bf-bac5-f569cea2df08","6","low"
"2e37f93c-2949-41d8-ba7d-0398aa1bf67d","8","NA"
"44654f88-b5ec-4e14-aa88-f25b22d90743","12","NA"
"b7366025-58e1-4f4f-b92d-5706e98d3113","5","NA"
"917cd369-d5fd-4832-8dac-f6a6dea6cbee","6","medium"
"912ea1a7-c0f6-4224-85a4-4a8a11b56098","11","high"
"25d9d275-8397-4e0f-ac2f-05701b056882","3","ignore"
"ce914093-9dba-4346-a698-99a0bef7da1d","XXS","high"
"fc8760a4-5b05-48e3-a22d-96a23ced2635","13","low"
"c79184ef-af05-44da-9a0d-bcb60f9161af","3","high"
"89577679-f9d4-4958-b701-a65a11340fc5","11","NA"
"a7a9b55c-d9ad-4128-bac1-581d2ec12638","8","ignore"
"3dfb7bd1-89d9-4e28-9988-ba622d395ce8","XXXL","low"
"051ade30-e479-4a68-8e1a-9c5f78486b28","12","ignore"
"6e5c4aa6-5dfd-4732-b704-f01a0fd2dd38","13","high"
"d65910d4-2124-471c-bf2c-7ea6ab00c7ca","6","ignore"
"5dcb90b4-f734-46c6-a05f-44871e9d6023","7","low"
"0d054835-f435-42f6-b741-ebec36eb45ac","M","ignore"
"842f377a-a50a-4667-836e-78a9e6b666c7","12","NA"
"72b00a5d-7022-4533-8a33-1b239c66b826","10","NA"
"6a4f175c-0ed9-47ae-9188-baaa375d47d5","XXS","high"
"2b0d27a2-6910-41f3-b67a-1c19ab5d4edb","11","low"
"e575fe02-aa76-4d59-bf84-ee126b0fbbf5","XXL","high"
"62d22cef-0185-4fe3-9e28-cec4e2e29e28","12","low"
"863135dc-fc3b-4f1b-8b0f-cf25b59361d8","S","NA"
"930b58f5-32be-4755-ae5f-34dedfa31b50","XXL","high"
"19b3b6dc-4d3a-41f3-8bbf-7eb4346a7db7","XXS","medium"
"13a2f5d6-83b3-42f1-969b-c008716418d4","8","medium"
"cf88df20-3f69-43f4-87bc-dfda57df9a08","XXXL","medium"
"5404b52f-9963-4dbf-824b-9e88b0aaa17c","M","high"
"87bf8f53-e34d-4f85-9915-dec41edc9bc9","5","low"
"85a1a425-4dcc-4eaf-b541-be954433f379","6","high"
"5c124d9b-3dbd-49ed-870e-3174e1668dd9","10","NA"
"db498667-df6a-4075-979b-ebbea86fcbba","XXL","NA"
"94902ad7-1583-4f7f-bff9-8b91c601dd31","6","NA"
