id,availability
"2eb4e889-8842-46e7-8f8b-65e06d03f794","in stock"
"3c694480-187c-49be-9faf-577d8d7e44df","in stock"
"56c6135f-e9ef-4723-b67a-87441c6204a2","in stock"
"133e0d70-827d-41a8-a634-552bd0ff5f87","out of stock"
"7540625d-e516-4282-b498-e2da70b92bf5","out of stock"
"24e6e394-bb94-4135-a470-81c69b17390b","in stock"
"a00045dd-625d-4ca6-92c4-1bef85ef40e5","out of stock"
"63cc8350-e2bf-414c-87b0-2863098dca1c","in stock"
"78b71811-6d94-4450-a70e-7f4c1c24fc82","out of stock"
"c657ee5a-0f11-412f-9977-5a8d25dc6a3d","in stock"
"0a4f45e3-c895-4104-a756-e9016ff628ef","out of stock"
"934c429a-7a6c-4968-a0f8-9375ce1700dd","in stock"
"736ded1d-e75c-4c32-9941-1bcde5df4001","in stock"
"23e51473-ed2a-43aa-9ca8-f232c8c45456","out of stock"
"62d22cef-0185-4fe3-9e28-cec4e2e29e28","in stock"
"051ade30-e479-4a68-8e1a-9c5f78486b28","out of stock"
"408e949f-a236-443d-b671-d86ccc976abb","in stock"
"4ecd1c7e-e067-4369-b625-68f43e893071","in stock"
"3dfb7bd1-89d9-4e28-9988-ba622d395ce8","in stock"
"4da74077-4d37-479c-9228-ea5a2b7d8002","out of stock"
"97d38b4f-acd9-4516-b5d1-403c672d8a58","in stock"
"82a58104-e090-40c2-a519-bf55c93c0d54","out of stock"
"af649e6e-f18a-4691-8f08-974d0f193c47","in stock"
"83adc1c2-48ab-4c58-8805-68ed9b29252c","out of stock"
"28bdee77-31e2-400c-aa98-24407da2a847","in stock"
"44654f88-b5ec-4e14-aa88-f25b22d90743","in stock"
"0562d42d-1355-4f23-ac88-131025d3551a","out of stock"
"ac24d608-18ac-4115-8311-4a8263891d2f","out of stock"
"00116a47-131b-415c-8525-5e21a358d21d","in stock"
"87bf8f53-e34d-4f85-9915-dec41edc9bc9","out of stock"
"79fb45b6-c72d-43cb-8ebb-28cc67dc7a0d","in stock"
"fa68c3ac-e9f4-4516-b8c6-5b8d3a5f5f9f","out of stock"
"0bde1667-f3d5-4460-b6da-6effe8fd8189","out of stock"
"5c124d9b-3dbd-49ed-870e-3174e1668dd9","out of stock"
"09b8a485-ac84-44a7-909b-a0c89428c0ef","in stock"
"c26aa946-2740-4b5f-802b-57382ba1c5b1","in stock"
"0111f47e-20c2-48e5-94b7-9cde7a75d796","in stock"
"a98da36f-22db-49d5-9b6d-777abd9dbe55","in stock"
"79053dc4-da03-4619-975e-4e085ef03b60","out of stock"
"c82c6d54-e047-471a-a235-932c5ef433aa","in stock"
"6524f172-fc4c-40f7-aa71-cb9e9081fbf1","out of stock"
"41d2a86c-65c6-41e3-a773-cb2b2776e8cf","in stock"
"33549e88-7759-489b-bb7a-74aec05d3354","out of stock"
"9c00be06-2ad1-4a5d-b2b5-d743ca4e6049","out of stock"
"6bf26b86-d994-455c-915f-6aa3fb00c12b","out of stock"
"e94f1460-fd0b-45dd-bdf3-45cf47bdad5f","out of stock"
